Customer grouping,Product ID,State,Customer category,Product market price,total market price,Notes,store comments,Customer Address,Gender,Discount,Date,Quantity,Discount_discrete
4.0,v15,Oklahoma,Automotive,45000,2899183,"",This is the best purchase I've mad in a tablet my daughter loves it,295 WILLIS AVENUE SUITE H,1,56,42734,91,"(50, 60]"
5.0,v11,South Carolina,Entertainment,238670,1023162,"",This is the only tablet I would buy repeatedly. With my kids being destruction magnets this is the only one that has held up.,4454 IDEA CENTER BOULEVARD,1,50,43090,26,"(40, 50]"
5.0,v6,Montana,Entertainment,237418,2313978,"",This product is a perfect learning tool for my daughter,Lange Straße 6,0,6,42529,87,"(0, 10]"
4.0,v20,Virginia,Food/Beverages,295866,1039165,"","This tablet is great for trips. Just make sure you download games and shows on it first since it does not have Internet. The case is great for kids who are rough with technology, it really takes a beating.",450 GRANT STREET SUITE 130,1,71,42951,8,"(70, 80]"
3.0,v20,Missouri,Entertainment,493703,2164903,"","This tablet really help me out, as a great gift for my nephew",450 GRANT STREET SUITE 130,0,45,43193,24,"(40, 50]"
1.0,v12,New York,Education,241263,1703910,"",This was a Christmas gift for a toddler. He loves this gift.,5600 OLD GREENWOOD ROAD,0,84,42541,1,"(80, 90]"
5.0,v12,South Carolina,Entertainment,617059,1978352,"",This was a gift for my kids. They love them. Easy to use and lots of great apps!,5600 OLD GREENWOOD ROAD,0,5,42716,94,"(0, 10]"
3.0,v1,Missouri,Automotive,710974,1962387,"",This was a good investment for my young kids. They are 4 & 5. They love these things and it's almost impossible for them to break the screen because of the bumpers.,1623 2ND AVE W,1,40,42371,10,"(30, 40]"
3.0,v9,Wisconsin,Mining,26341,3242830,"",This was easy to setup and easy to hand over to my 4 yr old. She loves the different games and apps that are available to her.,CONCORDIA WORKS,1,5,42738,7,"(0, 10]"
4.0,v6,Virginia,Mining,191187,1836531,"",This was the perfect gift for grandkids. I bought one in pink and one in green so each grandchild would have their own color. Lots of games come with the tablet and additional games and videos can be added.,CONCORDIA WORKS,1,20,42600,81,"(10, 20]"
4.0,v18,Utah,Mining,45954,1537396,"","Used it for learning apps for my 3 yo other than the fact that she put it in the dryer (while I was throwing clothes in there) and completely broke it, it works wonders. It's the 2nd one I've bought.",HEFBRUGWEG 28,1,25,43446,49,"(20, 30]"
3.0,v4,Oklahoma,Food/Beverages,326238,1806113,"",very durable and easy to work with. I love its functionality and my kid loves having his own tablet. good stuff,SCHOENBRUNNER STRASSE 7,0,14,42946,55,"(10, 20]"
4.0,v16,Ohio,Entertainment,363108,2752552,"",Was a gift for our 8 year old daughter. Great for kids,4936 ADAMS ROAD,1,23,42592,13,"(20, 30]"
2.0,v3,Virginia,Food/Beverages,690804,3813608,"",Was ok till it fell off table landed flat face down the broke screen my granddaughter threw unit and didn't break but it fell then broke so what good is bumper on unit if that happens,5600 OLD GREENWOOD ROAD,1,16,43085,34,"(10, 20]"
4.0,v12,Virginia,Music Industry,359466,2727925,"",We bought it for our granddaughter and she absolutely loved it!,5600 OLD GREENWOOD ROAD,0,92,42495,71,"(90, 100]"
1.0,v18,North Carolina,Mining,408498,1408945,"",We bought this for our two year old grandchild he loves it we set up a screen name for him and he plays on it every night! He has dropped it several times and it's fine nothing at all wrong with it!! Very durable!,5600 OLD GREENWOOD ROAD,0,61,42780,89,"(60, 70]"
1.0,v6,Michigan,Education,758113,1873593,"",Wonderful educational tool for my niece with special needs.,5600 OLD GREENWOOD ROAD,1,53,42791,74,"(50, 60]"
3.0,v14,Virginia,Music Industry,667563,1026677,"",Wonderful product to have for toddlers and preschoolers.,5600 OLD GREENWOOD ROAD,1,25,43149,27,"(20, 30]"
1.0,v1,Oregon,Food/Beverages,552720,2967733,"",Works well and looks great for kids. Limited internet access though.,5600 OLD GREENWOOD ROAD,1,14,42471,35,"(10, 20]"
4.0,v6,Utah,Music Industry,237766,3919306,"",Would definitely recommend to family and friends that have little kids great learning tablet,5600 OLD GREENWOOD ROAD,0,95,42491,81,"(90, 100]"
1.0,v6,Michigan,Household,789380,2070227,"",Yes this is a fantastic product so many things to do with said product...,225 BOUL DU SEMINAIRE SUD,0,48,43075,49,"(40, 50]"
5.0,v12,Alaska,Mining,161902,3046822,"",Worked great ..... it entertained my 2 year old just great.,FABRYCZNA 8,1,46,43036,28,"(40, 50]"
3.0,v6,South Carolina,Mining,284377,1017347,"",my 2 almost 3 year old son for Christmas it is great even for adults as well very sturdy and holds but to a wild 2 year old,5600 OLD GREENWOOD ROAD,1,89,42898,13,"(80, 90]"
5.0,v7,South Carolina,Education,138460,2765063,"","This tablet is great for kids, but also for adults who want something they can share with their children. I love the amazon free time on it. You can set time limits for your kids and it helps a lot with limiting time.",5600 OLD GREENWOOD ROAD,1,7,43453,82,"(0, 10]"
2.0,v16,South Carolina,Entertainment,560795,3068769,"","My kids love this product, as do I. Parental restrictions can be set and they know when they have to shut them off. Good battery life too.",5600 OLD GREENWOOD ROAD,1,3,42624,73,"(0, 10]"
3.0,v1,Michigan,Education,742983,2662811,"",Great tablet/e-reader. You can do a lot on this bad boy!!,"23, LANE 258, CAOXI ROAD",0,58,42793,33,"(50, 60]"
2.0,v18,Wisconsin,Entertainment,759241,3420677,"","Bought for my kid, it's great for him, the apps are good, the free time, bumper and warranty make it worry free!",ALTPLAUEN 19,0,4,42987,68,"(0, 10]"
2.0,v15,Missouri,Household,479430,1928922,"","I couldn't be happier with this product. Great for kids games, learning tools, and you have excellent parental controls. You can limit what they have access to, and even limit the time they can use it! Long lasting battery, yet charges quickly. Very durable. My son can break anything and this product truly holds up to children's use.",CARL V.LINDE STRASSE 12,1,9,42396,30,"(0, 10]"
4.0,v17,Virginia,Automotive,110370,1745465,"",I got this for my one and two year old girls and I don't have any complaints! The battery life isn't great but I don't really mind that!,"VIA RISORGIMENTO, 9",0,38,43283,67,"(30, 40]"
5.0,v20,Virginia,Household,781041,3356408,"",I have two kids and they both love it. Its also nice because it is already setup for them.,"VIA 8 MARZO, 1",0,17,43112,99,"(10, 20]"
3.0,v3,Vermont,Automotive,183223,2432334,"","My 10yr old stepdaughter wanted a camera, but after Christmas, Best Buy was out of stock. We thought this was a good alternative (she gets $ from her grandparents, so it was her purchase) since she broke her old tablet as well. Due to her being behind 2yrs in school, we set a 2 hr limit - meaning she had to read or do other educational games for 2 hours before being able to play on it. We also set a max time so she wouldn't spend all day. It was REALLY easy to set this up & I wish it was this simple on our other kids' electronics. So, yes I had an alterior motive for moving her to an educational tablet in lieu of a camera, but some kids refuse to get outdoors. So far, a great buy!",CARL V.LINDE STRASSE 12,1,50,42673,82,"(40, 50]"
3.0,v10,South Carolina,Entertainment,338335,2383344,"",My 2yr old daughter loves it! Perfect Xmas gift!,BOHNLAND 16,1,46,42769,59,"(40, 50]"
4.0,v19,Alaska,Mining,741091,2754147,"","My son is constantly distracted and loves technology. Him being only two years old, this proved to be the perfect thing to keep him occupied and out of trouble.",1310 FANNING BRIDGE ROAD,0,22,43045,70,"(20, 30]"
4.0,v15,Oregon,Entertainment,631463,2210572,"","Product was purchased for 6 year old. Very excited to use. Had a hard time navigating initially. Battery life not as expected(too short). Short charging chord. Charging port at tablet site, easily worn. Very positional when charging when plugged in. Will stick with Apple products for now.",1310 FANNING BRIDGE ROAD,1,62,43183,34,"(60, 70]"
4.0,v5,Missouri,Mining,61418,3862938,"",This is GREAT for my 3 year old and my 5 year old! They stay entertained and easy to use.,Lummintie 16,1,97,42778,70,"(90, 100]"
5.0,v20,North Carolina,Entertainment,799148,3580336,"","We bought this one and a black one for our kids. It's very durable and good price for the quality. For myself personally, I still prefer my iPad, but if on a budget, you won't regret the investment. It's so simple I sometimes struggle using it. The free time experience is awesome for little ones and I can set parameters, which is a huge bonus. For a first-time tablet user, this is a solid product.",44650 HELM COURT,0,86,43344,22,"(80, 90]"
2.0,v11,Alaska,Music Industry,52699,1306944,"","\"Fire kids edition, I love it, because kid just can find movies and games especially for them, I don't have to be worry about Reader \"\"r\"\" movies that accidentally they can watch\"","BUCHEON TECHNOPARK, YAEDAE-DONG,",1,64,42581,10,"(60, 70]"
5.0,v14,North Carolina,Food/Beverages,81496,2603310,"","lots of games, love that it has the option to use as a regular tablet, and my kids love the case because it makes it easier to hold and to prop it up when they are listening to books and such! Has parental controls and is all around awesome for kids!!!!",Oudestraat 2,0,17,42648,69,"(10, 20]"
2.0,v15,Utah,Music Industry,417871,2456413,"",I have a four year old daughter who has learned a lot from using this tablet. The child feature is great because she can access everything for her age in one area ( with parental settings of course). I really love this tablet,Oudestraat 2,1,46,42504,7,"(40, 50]"
2.0,v3,Minnesota,Mining,655298,3087168,"",I am so glad I got my son (5 1/2 years old) the Fire Kids Edition Tablet! It is extremely durable & provides hours of educational entertaining fun!!!,Aarbergstrasse 3-5,1,67,42971,10,"(60, 70]"
1.0,v16,Vermont,Entertainment,422281,1667257,"",I got this for my two grandsons (ages 2 & 4) for Christmas. They love them.,"BUCHEON TECHNOPARK, YAEDAE-DONG,",1,43,42997,65,"(40, 50]"
5.0,v18,New York,Household,438989,2881214,"",It is easy for little ones to use. Great beginner buy.,LAMPRECHTSHAUSENER BUNDESSTRASSE 8,0,63,43358,99,"(60, 70]"
